"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of committers","Number of previous modifications","Number of developer commits","Number of bugs"
"L8485","AbilityDisableTask.java","src/main/java/com/gmail/nossr50/runnables/skills/AbilityDisableTask.java","L8483","9","0","60","0","2","6","1840","0"
"L8486","AlchemyBrewCheckTask.java","src/main/java/com/gmail/nossr50/runnables/skills/AlchemyBrewCheckTask.java","L8483","7","0","33","2","3","7","648","0"
"L8487","AlchemyBrewTask.java","src/main/java/com/gmail/nossr50/runnables/skills/AlchemyBrewTask.java","L8483","13","0","82","3","3","11","648","0"
"L8488","AprilTask.java","src/main/java/com/gmail/nossr50/runnables/skills/AprilTask.java","L8483","7","0","47","0","1","1","648","0"
"L8489","AwardCombatXpTask.java","src/main/java/com/gmail/nossr50/runnables/skills/AwardCombatXpTask.java","L8483","3","0","31","0","2","3","1840","0"
"L8490","BleedTimerTask.java","src/main/java/com/gmail/nossr50/runnables/skills/BleedTimerTask.java","L8483","12","0","74","0","2","3","1840","0"
"L8491","HerbalismBlockUpdaterTask.java","src/main/java/com/gmail/nossr50/runnables/skills/HerbalismBlockUpdaterTask.java","L8483","1","0","13","0","2","2","1840","0"
"L8492","KrakenAttackTask.java","src/main/java/com/gmail/nossr50/runnables/skills/KrakenAttackTask.java","L8483","11","0","79","1","3","11","648","0"
"L8493","ToolLowerTask.java","src/main/java/com/gmail/nossr50/runnables/skills/ToolLowerTask.java","L8483","3","0","23","0","1","1","1840","0"
"L8717","Acrobatics.java","src/main/java/com/gmail/nossr50/skills/acrobatics/Acrobatics.java","L8716","1","0","21","0","6","34","208","0"
"L8718","AcrobaticsManager.java","src/main/java/com/gmail/nossr50/skills/acrobatics/AcrobaticsManager.java","L8716","25","0","106","1","6","58","208","0"
"L8800","Alchemy.java","src/main/java/com/gmail/nossr50/skills/alchemy/Alchemy.java","L8799","5","0","56","3","3","6","648","0"
"L8801","AlchemyManager.java","src/main/java/com/gmail/nossr50/skills/alchemy/AlchemyManager.java","L8799","9","0","51","1","3","7","1840","0"
"L8802","AlchemyPotionBrewer.java","src/main/java/com/gmail/nossr50/skills/alchemy/AlchemyPotionBrewer.java","L8799","43","0","177","6","3","17","648","0"
"L8902","Archery.java","src/main/java/com/gmail/nossr50/skills/archery/Archery.java","L8901","5","0","45","0","6","37","1840","0"
"L8903","ArcheryManager.java","src/main/java/com/gmail/nossr50/skills/archery/ArcheryManager.java","L8901","8","0","68","5","7","65","1840","0"
"L8904","TrackedEntity.java","src/main/java/com/gmail/nossr50/skills/archery/TrackedEntity.java","L8901","2","0","34","0","3","14","1840","0"
"L8988","Axes.java","src/main/java/com/gmail/nossr50/skills/axes/Axes.java","L8987","3","0","26","0","5","14","208","0"
"L8989","AxesManager.java","src/main/java/com/gmail/nossr50/skills/axes/AxesManager.java","L8987","18","0","99","4","4","18","208","0"
"L9052","ChildConfig.java","src/main/java/com/gmail/nossr50/skills/child/ChildConfig.java","L9051","7","0","45","0","3","6","1840","0"
"L9053","FamilyTree.java","src/main/java/com/gmail/nossr50/skills/child/FamilyTree.java","L9051","5","0","40","0","2","3","55","0"
"L9101","Excavation.java","src/main/java/com/gmail/nossr50/skills/excavation/Excavation.java","L9100","11","0","40","1","5","24","648","0"
"L9102","ExcavationManager.java","src/main/java/com/gmail/nossr50/skills/excavation/ExcavationManager.java","L9100","6","0","40","0","4","10","208","0"
"L9136","Fishing.java","src/main/java/com/gmail/nossr50/skills/fishing/Fishing.java","L9135","23","0","101","0","6","32","1840","0"
"L9137","FishingManager.java","src/main/java/com/gmail/nossr50/skills/fishing/FishingManager.java","L9135","89","0","431","7","6","73","648","0"
"L9263","Herbalism.java","src/main/java/com/gmail/nossr50/skills/herbalism/Herbalism.java","L9262","11","0","61","0","5","57","208","0"
"L9264","HerbalismManager.java","src/main/java/com/gmail/nossr50/skills/herbalism/HerbalismManager.java","L9262","64","0","283","2","5","28","1840","0"
"L9328","BlastMining.java","src/main/java/com/gmail/nossr50/skills/mining/BlastMining.java","L9327","1","0","43","0","3","17","1840","0"
"L9329","Mining.java","src/main/java/com/gmail/nossr50/skills/mining/Mining.java","L9327","40","0","84","1","6","48","648","0"
"L9330","MiningManager.java","src/main/java/com/gmail/nossr50/skills/mining/MiningManager.java","L9327","42","0","190","1","8","78","1840","0"
"L9402","ArcaneForging.java","src/main/java/com/gmail/nossr50/skills/repair/ArcaneForging.java","L9401","1","0","32","0","2","5","1840","0"
"L9403","Repair.java","src/main/java/com/gmail/nossr50/skills/repair/Repair.java","L9401","33","0","85","4","8","102","1840","0"
"L9404","RepairManager.java","src/main/java/com/gmail/nossr50/skills/repair/RepairManager.java","L9401","59","0","278","5","6","52","648","0"
"L9689","Smelting.java","src/main/java/com/gmail/nossr50/skills/smelting/Smelting.java","L9688","3","0","42","0","4","14","648","0"
"L9690","SmeltingManager.java","src/main/java/com/gmail/nossr50/skills/smelting/SmeltingManager.java","L9688","13","0","80","2","5","23","208","0"
"L9738","Swords.java","src/main/java/com/gmail/nossr50/skills/swords/Swords.java","L9737","1","0","10","0","5","19","208","0"
"L9739","SwordsManager.java","src/main/java/com/gmail/nossr50/skills/swords/SwordsManager.java","L9737","13","0","69","3","7","46","208","0"
"L9766","Taming.java","src/main/java/com/gmail/nossr50/skills/taming/Taming.java","L9765","6","0","59","0","7","30","208","0"
"L9767","TamingManager.java","src/main/java/com/gmail/nossr50/skills/taming/TamingManager.java","L9765","32","0","197","9","7","80","648","0"
"L9837","Unarmed.java","src/main/java/com/gmail/nossr50/skills/unarmed/Unarmed.java","L9836","10","0","64","1","5","37","1840","0"
"L9838","UnarmedManager.java","src/main/java/com/gmail/nossr50/skills/unarmed/UnarmedManager.java","L9836","18","0","101","4","6","61","648","0"
"L9885","Woodcutting.java","src/main/java/com/gmail/nossr50/skills/woodcutting/Woodcutting.java","L9884","35","0","150","1","8","56","1840","0"
"L9886","WoodcuttingManager.java","src/main/java/com/gmail/nossr50/skills/woodcutting/WoodcuttingManager.java","L9884","22","0","120","2","6","16","648","0"
"L9986","ChunkletManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/ChunkletManager.java","L9985","1","0","23","0","3","7","258","0"
"L9987","ChunkletManagerFactory.java","src/main/java/com/gmail/nossr50/util/blockmeta/ChunkletManagerFactory.java","L9985","2","0","11","0","3","7","232","0"
"L9988","ChunkletStore.java","src/main/java/com/gmail/nossr50/util/blockmeta/ChunkletStore.java","L9985","1","0","9","0","3","5","232","0"
"L9989","ChunkletStoreFactory.java","src/main/java/com/gmail/nossr50/util/blockmeta/ChunkletStoreFactory.java","L9985","1","0","6","0","2","4","232","0"
"L9990","HashChunkletManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/HashChunkletManager.java","L9985","53","0","325","1","5","43","1840","0"
"L9991","NullChunkletManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/NullChunkletManager.java","L9985","1","0","77","0","3","6","232","0"
"L9992","PrimitiveChunkletStore.java","src/main/java/com/gmail/nossr50/util/blockmeta/PrimitiveChunkletStore.java","L9985","8","0","40","0","4","18","258","0"
"L9993","PrimitiveExChunkletStore.java","src/main/java/com/gmail/nossr50/util/blockmeta/PrimitiveExChunkletStore.java","L9985","19","0","107","0","3","10","258","0"
"L11180","CommandRegistrationManager.java","src/main/java/com/gmail/nossr50/util/commands/CommandRegistrationManager.java","L11179","16","0","385","0","5","21","648","0"
"L11181","CommandUtils.java","src/main/java/com/gmail/nossr50/util/commands/CommandUtils.java","L11179","37","0","190","4","5","18","648","0"
"L11528","FormulaManager.java","src/main/java/com/gmail/nossr50/util/experience/FormulaManager.java","L11527","12","0","91","0","2","6","648","0"
"L12121","UserManager.java","src/main/java/com/gmail/nossr50/util/player/UserManager.java","L12120","8","0","67","3","4","16","648","0"
"L12153","ScoreboardManager.java","src/main/java/com/gmail/nossr50/util/scoreboards/ScoreboardManager.java","L12152","36","0","284","3","5","27","1840","0"
"L12154","ScoreboardWrapper.java","src/main/java/com/gmail/nossr50/util/scoreboards/ScoreboardWrapper.java","L12152","54","0","414","0","4","7","208","0"
"L12428","CombatUtils.java","src/main/java/com/gmail/nossr50/util/skills/CombatUtils.java","L12427","128","0","437","13","6","63","1840","0"
"L12429","ParticleEffectUtils.java","src/main/java/com/gmail/nossr50/util/skills/ParticleEffectUtils.java","L12427","12","0","87","1","5","10","1840","0"
"L12430","PerksUtils.java","src/main/java/com/gmail/nossr50/util/skills/PerksUtils.java","L12427","16","0","67","0","4","9","648","0"
"L12431","SkillUtils.java","src/main/java/com/gmail/nossr50/util/skills/SkillUtils.java","L12427","28","0","153","0","6","40","1840","0"
"L1625","PartyAllianceAcceptCommand.java","src/main/java/com/gmail/nossr50/commands/party/alliance/PartyAllianceAcceptCommand.java","L1624","4","0","32","0","1","2","648","0"
"L1626","PartyAllianceCommand.java","src/main/java/com/gmail/nossr50/commands/party/alliance/PartyAllianceCommand.java","L1624","14","0","107","1","1","4","648","0"
"L1627","PartyAllianceDisbandCommand.java","src/main/java/com/gmail/nossr50/commands/party/alliance/PartyAllianceDisbandCommand.java","L1624","3","0","30","0","1","1","648","0"
"L1628","PartyAllianceInviteCommand.java","src/main/java/com/gmail/nossr50/commands/party/alliance/PartyAllianceInviteCommand.java","L1624","8","0","57","0","2","3","1840","0"
"L2123","PtpAcceptAnyCommand.java","src/main/java/com/gmail/nossr50/commands/party/teleport/PtpAcceptAnyCommand.java","L2122","3","0","26","0","1","3","1840","0"
"L2124","PtpAcceptCommand.java","src/main/java/com/gmail/nossr50/commands/party/teleport/PtpAcceptCommand.java","L2122","10","0","53","1","2","5","648","0"
"L2125","PtpCommand.java","src/main/java/com/gmail/nossr50/commands/party/teleport/PtpCommand.java","L2122","23","0","152","1","2","20","648","0"
"L2126","PtpToggleCommand.java","src/main/java/com/gmail/nossr50/commands/party/teleport/PtpToggleCommand.java","L2122","3","0","26","0","1","3","1840","0"
"L4586","PotionConfig.java","src/main/java/com/gmail/nossr50/config/skills/alchemy/PotionConfig.java","L4585","33","0","167","0","1","3","1840","0"
"L4673","RepairConfig.java","src/main/java/com/gmail/nossr50/config/skills/repair/RepairConfig.java","L4672","35","0","129","1","1","2","1840","0"
"L4674","RepairConfigManager.java","src/main/java/com/gmail/nossr50/config/skills/repair/RepairConfigManager.java","L4672","5","0","32","0","1","1","1840","0"
"L6171","AlchemyPotion.java","src/main/java/com/gmail/nossr50/datatypes/skills/alchemy/AlchemyPotion.java","L6170","9","0","82","2","2","4","648","0"
"L6858","McMMOPlayerAbilityActivateEvent.java","src/main/java/com/gmail/nossr50/events/skills/abilities/McMMOPlayerAbilityActivateEvent.java","L6857","1","0","17","0","2","3","1840","0"
"L6859","McMMOPlayerAbilityDeactivateEvent.java","src/main/java/com/gmail/nossr50/events/skills/abilities/McMMOPlayerAbilityDeactivateEvent.java","L6857","1","0","8","0","3","3","1840","0"
"L6860","McMMOPlayerAbilityEvent.java","src/main/java/com/gmail/nossr50/events/skills/abilities/McMMOPlayerAbilityEvent.java","L6857","1","0","15","0","1","1","1840","0"
"L6891","McMMOPlayerBrewEvent.java","src/main/java/com/gmail/nossr50/events/skills/alchemy/McMMOPlayerBrewEvent.java","L6890","1","0","29","1","2","3","648","0"
"L6892","McMMOPlayerCatalysisEvent.java","src/main/java/com/gmail/nossr50/events/skills/alchemy/McMMOPlayerCatalysisEvent.java","L6890","1","0","26","0","2","2","648","0"
"L6922","McMMOPlayerFishingEvent.java","src/main/java/com/gmail/nossr50/events/skills/fishing/McMMOPlayerFishingEvent.java","L6921","1","0","18","0","1","1","1840","0"
"L6923","McMMOPlayerFishingTreasureEvent.java","src/main/java/com/gmail/nossr50/events/skills/fishing/McMMOPlayerFishingTreasureEvent.java","L6921","1","0","24","0","3","3","1840","0"
"L6924","McMMOPlayerMagicHunterEvent.java","src/main/java/com/gmail/nossr50/events/skills/fishing/McMMOPlayerMagicHunterEvent.java","L6921","1","0","15","0","3","3","1840","0"
"L6925","McMMOPlayerShakeEvent.java","src/main/java/com/gmail/nossr50/events/skills/fishing/McMMOPlayerShakeEvent.java","L6921","1","0","16","0","3","3","1840","0"
"L6992","McMMOPlayerRepairCheckEvent.java","src/main/java/com/gmail/nossr50/events/skills/repair/McMMOPlayerRepairCheckEvent.java","L6991","1","0","36","0","1","1","258","0"
"L7019","SecondaryAbilityEvent.java","src/main/java/com/gmail/nossr50/events/skills/secondaryabilities/SecondaryAbilityEvent.java","L7018","1","0","15","0","1","2","208","0"
"L7020","SecondaryAbilityWeightedActivationCheckEvent.java","src/main/java/com/gmail/nossr50/events/skills/secondaryabilities/SecondaryAbilityWeightedActivationCheckEvent.java","L7018","2","0","19","0","3","4","1840","0"
"L7049","McMMOPlayerDisarmEvent.java","src/main/java/com/gmail/nossr50/events/skills/unarmed/McMMOPlayerDisarmEvent.java","L7048","1","0","24","0","1","1","258","0"
"L9452","Repairable.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/Repairable.java","L9451","1","0","14","0","1","1","1840","0"
"L9453","RepairableFactory.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/RepairableFactory.java","L9451","1","0","10","0","1","1","1840","0"
"L9454","RepairableManager.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/RepairableManager.java","L9451","1","0","11","0","1","1","1840","0"
"L9455","RepairItemType.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/RepairItemType.java","L9451","4","0","20","0","1","1","1840","0"
"L9456","RepairMaterialType.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/RepairMaterialType.java","L9451","17","0","57","0","1","1","1840","0"
"L9457","SimpleRepairable.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/SimpleRepairable.java","L9451","1","0","63","0","1","1","1840","0"
"L9458","SimpleRepairableManager.java","src/main/java/com/gmail/nossr50/skills/repair/repairables/SimpleRepairableManager.java","L9451","2","0","37","0","2","3","1840","0"
"L10121","ChunkManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/ChunkManager.java","L10120","1","0","35","0","4","13","648","0"
"L10122","ChunkManagerFactory.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/ChunkManagerFactory.java","L10120","2","0","11","0","3","7","258","0"
"L10123","ChunkStore.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/ChunkStore.java","L10120","1","0","14","0","3","8","258","0"
"L10124","ChunkStoreFactory.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/ChunkStoreFactory.java","L10120","1","0","7","0","2","4","258","0"
"L10125","HashChunkManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/HashChunkManager.java","L10120","59","0","365","0","4","67","1840","0"
"L10126","McMMOSimpleChunkBuffer.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/McMMOSimpleChunkBuffer.java","L10120","1","0","16","0","1","1","258","0"
"L10127","McMMOSimpleRegionFile.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/McMMOSimpleRegionFile.java","L10120","39","0","230","0","1","1","258","0"
"L10128","NullChunkManager.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/NullChunkManager.java","L10120","1","0","72","0","4","12","258","0"
"L10129","PrimitiveChunkStore.java","src/main/java/com/gmail/nossr50/util/blockmeta/chunkmeta/PrimitiveChunkStore.java","L10120","14","0","123","0","4","22","258","0"
"L10759","BlockStoreConversionMain.java","src/main/java/com/gmail/nossr50/util/blockmeta/conversion/BlockStoreConversionMain.java","L10758","11","0","73","0","3","3","1840","0"
"L10760","BlockStoreConversionXDirectory.java","src/main/java/com/gmail/nossr50/util/blockmeta/conversion/BlockStoreConversionXDirectory.java","L10758","9","0","64","0","3","3","1840","0"
"L10761","BlockStoreConversionZDirectory.java","src/main/java/com/gmail/nossr50/util/blockmeta/conversion/BlockStoreConversionZDirectory.java","L10758","25","0","157","0","3","6","1840","0"
"L12704","Updater.java","src/main/java/net/gravitydevelopment/updater/mcmmo/Updater.java","L12703","66","0","381","0","2","5","648","0"
"L12954","ZipLibrary.java","src/main/java/net/shatteredlands/shatt/backup/ZipLibrary.java","L12953","14","0","106","0","7","31","648","0"
